cluster,gene,logfoldchanges,pvals_adj,scores
0,axo29.F12B,-1.6780381,2.614334736159036e-46,-14.312127
0,axo15.A11,-1.1631954,2.37858514157998e-46,-14.318861
0,axo21.G9B,-1.6419978,2.0045597340140003e-46,-14.330829
0,axo29.H11A,-1.4719489,1.6961179676080797e-46,-14.342508
0,axo3.A9,-1.2089256,1.6766556288971118e-46,-14.343391
0,axo2.E11,-1.240355,1.6167459818306433e-46,-14.345998
0,axo13.D5B,-1.4314027,1.4929931095076836e-46,-14.3516035
0,axo6.H6B,-1.5664709,1.0529179956760172e-46,-14.375882
0,axo29.H5A,-1.3465146,8.52489629407979e-47,-14.390575
0,axo7.E1B,-1.3709725,8.222660176456421e-47,-14.393154
0,axo11.F3B,-1.8078867,8.093493830641143e-47,-14.394331
0,axo14.E6A,-1.3805256,7.323521599354789e-47,-14.401323
0,axo9.G2A,-1.2861592,3.545568559998081e-47,-14.45145
0,axo6.A2B,-1.2351531,3.221390877237444e-47,-14.458135
0,axo2.G3,-1.4187086,2.2708911327756947e-47,-14.482266
0,axo10.A10,-1.4932911,1.7661184583794057e-47,-14.499615
0,axo15.F5,-1.8607583,1.6938537798155236e-47,-14.502564
0,axo6.D7B,-1.3243806,1.3085674564421557e-47,-14.520348
0,axo21.B6A,-1.7496598,1.0718493787724255e-47,-14.534102
0,axo14.A10A,-1.176281,1.009854176007549e-47,-14.538264
0,axo29.E2A,-1.6779041,3.862267977331394e-48,-14.604002
0,axo16.G11,-1.1939716,2.6393220288893972e-48,-14.630012
0,axo9.G6A,-1.2917907,2.3652685829478234e-48,-14.63755
0,axo21.H10B,-1.2746867,2.2924992284997743e-48,-14.639757
0,axo21.A11A,-1.7161626,1.8967167882251827e-48,-14.65272
0,axo29.E5A,-1.3728614,1.7368982075614235e-48,-14.658781
0,axo15.A8B,-1.2529734,1.6002063410005908e-48,-14.664429
0,axo14.A3A,-1.2881266,1.398588273916278e-48,-14.67365
0,axo2.A3,-1.4103335,1.3245919868228337e-48,-14.677419
0,axo7.E7B,-1.3369818,1.0854643300679503e-48,-14.690998
0,axo15.C10B,-1.3820467,8.125767419634789e-49,-14.710688
0,axo21.D12A,-1.8427668,6.361756637816579e-49,-14.727322
0,axo16.E7,-1.3060262,5.692381856754236e-49,-14.734917
0,axo29.B5B,-1.578433,3.0657746236646165e-49,-14.776747
0,axo3.D11,-1.4047424,2.62053577215302e-49,-14.787397
0,axo29.G4B,-1.441861,2.5758596186034584e-49,-14.788638
0,axo14.D6A,-1.36807,2.3020980584823555e-49,-14.796282
0,axo21.G11A,-1.4468067,2.2328651504792484e-49,-14.798419
0,axo4.H11,-1.2208227,1.891330196303007e-49,-14.809665
0,axo10.D9,-1.2720593,5.999909601845192e-50,-14.886725
0,axo21.E12A,-1.8633047,3.882520397991007e-50,-14.915888
0,axo21.B7A,-1.815474,2.46938854631302e-50,-14.946143
0,axo14.E7A,-1.130817,1.2471603497464518e-50,-14.991659
0,axo29.D4A,-1.2408805,1.0486822148935383e-50,-15.003248
