Ortholog_Gene_Symbol,Axolotl_scRNA,Mouse_BulkRNA,Human_Proteomics,Conservation_Score
AXO21.A6B,True,False,False,1
AXO21.A7B,True,False,False,1
AXO21.A8B,True,False,False,1
AXO21.A9B,True,False,False,1
AXO21.B11B,True,False,False,1
AXO21.B12A,True,False,False,1
AXO21.B12B,True,False,False,1
AXO21.B1A,True,False,False,1
AXO21.B1B,True,False,False,1
AXO21.B2A,True,False,False,1
AXO21.B3B,True,False,False,1
AXO21.B4A,True,False,False,1
AXO21.B4B,True,False,False,1
AXO21.B5A,True,False,False,1
AXO21.B5B,True,False,False,1
AXO21.B6A,True,False,False,1
AXO21.B6B,True,False,False,1
AXO21.B7A,True,False,False,1
AXO21.B8A,True,False,False,1
AXO21.B8B,True,False,False,1
AXO21.B9A,True,False,False,1
AXO21.B9B,True,False,False,1
AXO21.C11A,True,False,False,1
AXO21.C11B,True,False,False,1
AXO21.C12B,True,False,False,1
AXO21.C1A,True,False,False,1
AXO21.C1B,True,False,False,1
AXO21.C2A,True,False,False,1
AXO21.C2B,True,False,False,1
AXO21.C3A,True,False,False,1
AXO21.C3B,True,False,False,1
AXO21.C4A,True,False,False,1
AXO21.C4B,True,False,False,1
AXO21.C6A,True,False,False,1
AXO21.C6B,True,False,False,1
AXO21.C7A,True,False,False,1
AXO21.C8A,True,False,False,1
AXO21.C8B,True,False,False,1
AXO21.C9A,True,False,False,1
AXO21.D10B,True,False,False,1
AXO21.D11A,True,False,False,1
AXO21.D11B,True,False,False,1
AXO21.D12A,True,False,False,1
AXO21.D12B,True,False,False,1
AXO21.D1A,True,False,False,1
AXO21.D1B,True,False,False,1
AXO21.D2A,True,False,False,1
AXO21.D2B,True,False,False,1
AXO21.D3A,True,False,False,1
AXO21.D4A,True,False,False,1
AXO21.D4B,True,False,False,1
AXO21.D5A,True,False,False,1
AXO21.D5B,True,False,False,1
AXO21.D7A,True,False,False,1
AXO21.D7B,True,False,False,1
AXO21.D8A,True,False,False,1
AXO21.D8B,True,False,False,1
AXO21.D9A,True,False,False,1
AXO21.D9B,True,False,False,1
AXO21.E10A,True,False,False,1
AXO21.E11A,True,False,False,1
AXO21.E11B,True,False,False,1
AXO21.E12A,True,False,False,1
AXO21.E12B,True,False,False,1
AXO21.E2A,True,False,False,1
AXO21.E4A,True,False,False,1
AXO21.E4B,True,False,False,1
AXO21.E5B,True,False,False,1
AXO21.E6A,True,False,False,1
AXO21.E6B,True,False,False,1
AXO21.E7B,True,False,False,1
AXO21.E8A,True,False,False,1
AXO21.E9A,True,False,False,1
AXO21.E9B,True,False,False,1
AXO21.F10B,True,False,False,1
AXO21.F12B,True,False,False,1
AXO21.F1A,True,False,False,1
AXO21.F1B,True,False,False,1
AXO21.F2B,True,False,False,1
AXO21.F3B,True,False,False,1
AXO21.F4A,True,False,False,1
AXO21.F4B,True,False,False,1
AXO21.F5A,True,False,False,1
AXO21.F5B,True,False,False,1
AXO21.F6A,True,False,False,1
AXO21.F6B,True,False,False,1
AXO21.F7B,True,False,False,1
AXO21.F8A,True,False,False,1
AXO21.F8B,True,False,False,1
AXO21.F9A,True,False,False,1
AXO21.F9B,True,False,False,1
AXO21.G10A,True,False,False,1
AXO21.G11A,True,False,False,1
AXO21.G12B,True,False,False,1
AXO21.G1A,True,False,False,1
AXO21.G1B,True,False,False,1
AXO21.G2B,True,False,False,1
AXO21.G3B,True,False,False,1
AXO21.G4B,True,False,False,1
AXO21.G5A,True,False,False,1
AXO21.G5B,True,False,False,1
AXO21.G6B,True,False,False,1
AXO21.G7B,True,False,False,1
AXO21.G8A,True,False,False,1
AXO21.G8B,True,False,False,1
AXO21.G9B,True,False,False,1
AXO21.H10A,True,False,False,1
AXO21.H10B,True,False,False,1
AXO21.H11B,True,False,False,1
AXO21.H12A,True,False,False,1
AXO21.H1B,True,False,False,1
AXO21.H2A,True,False,False,1
AXO21.H3A,True,False,False,1
AXO21.H3B,True,False,False,1
AXO21.H4A,True,False,False,1
AXO21.H4B,True,False,False,1
AXO21.H5A,True,False,False,1
AXO21.H6A,True,False,False,1
AXO21.H6B,True,False,False,1
AXO21.H7B,True,False,False,1
AXO21.H8A,True,False,False,1
AXO21.H8B,True,False,False,1
AXO23.A10B,True,False,False,1
AXO23.A11B,True,False,False,1
AXO23.A1B,True,False,False,1
AXO23.A2B,True,False,False,1
AXO23.A4B,True,False,False,1
AXO23.A5B,True,False,False,1
AXO23.A6B,True,False,False,1
AXO23.A7B,True,False,False,1
AXO23.A8B,True,False,False,1
AXO23.A9B,True,False,False,1
AXO23.B10B,True,False,False,1
AXO23.B11B,True,False,False,1
AXO23.B1B,True,False,False,1
AXO23.B2B,True,False,False,1
AXO23.B3B,True,False,False,1
AXO23.B4B,True,False,False,1
AXO23.B5B,True,False,False,1
AXO23.B6B,True,False,False,1
AXO23.B7B,True,False,False,1
AXO23.B8B,True,False,False,1
AXO23.B9B,True,False,False,1
AXO23.C10B,True,False,False,1
AXO23.C11B,True,False,False,1
AXO23.C1B,True,False,False,1
AXO23.C2B,True,False,False,1
AXO23.C3B,True,False,False,1
AXO23.C4B,True,False,False,1
AXO23.C5B,True,False,False,1
AXO23.C6B,True,False,False,1
AXO23.C7B,True,False,False,1
AXO23.C8B,True,False,False,1
AXO23.C9B,True,False,False,1
AXO23.D10B,True,False,False,1
AXO23.D11B,True,False,False,1
AXO23.D1B,True,False,False,1
AXO23.D2B,True,False,False,1
AXO23.D3B,True,False,False,1
AXO23.D4B,True,False,False,1
AXO23.D5B,True,False,False,1
AXO23.D7B,True,False,False,1
AXO23.D8B,True,False,False,1
AXO23.D9B,True,False,False,1
AXO23.E10B,True,False,False,1
AXO23.E11B,True,False,False,1
AXO23.E1B,True,False,False,1
AXO23.E2B,True,False,False,1
AXO23.E3B,True,False,False,1
AXO23.E4B,True,False,False,1
AXO23.E5B,True,False,False,1
AXO23.E7B,True,False,False,1
AXO23.E8B,True,False,False,1
